59,0,0,14.99,0,0
71.1,0,0,12.97,0,0
75,1.47,0,10.96,0,0
70,0,0,19.91,0,0
86,0,0,14.09,0,0
89.1,0,0,18.12,0,1
82.9,0.72,0,18.12,0,0
88,0,0,16.11,0,1
86,0,0,8.05,0,0
75,0,0,14.09,0,0
91,1.16,0,23.94,0,1
88,0,0,8.95,0,1
86,0.06,0,17,0,0
78.1,0,0,8.05,0,0
70,0,0,6.04,0,0
66.9,0,0,18.12,0,0
57.9,0,0,12.97,0,0
60.1,0,0,6.04,0,0
46.9,0.85,0,14.09,0,0
43,0,0,21.92,0,1
37.9,0,0,8.05,0,0
51.1,0.1,0,17,0,0
30.2,0,0,12.97,0,0
53.1,0,0,8.95,0,0
53.1,0.06,0,12.08,0,0
44.1,0,0,10.07,0,0
72,0,0,23.04,0,1
50,0,0,12.08,0,0
46.9,0,0,17,0,0
69.1,0.31,0,21.92,0,1
78.1,0,0,12.08,0,0
78.1,0,0,29.08,0,1
81,0,0,18.12,0,0
64,0,0,18.12,0,0
71.1,0,0,16.11,0,0
73,0.18,0,16.11,0,0
68,0,0,12.97,0,0
82,0,0,14.99,0,0
90,0,0,14.99,0,1
84,0,0,8.05,0,0
91.9,0,0,14.09,0,1
84,0.01,0,14.09,0,0
82,0.07,0,12.08,0,0
80.1,0.01,0,12.97,0,0
75,0,0,8.05,0,0
75.9,0,0,12.97,0,0
75.9,0,0,14.09,0,0
75,0,0,6.93,0,0
84,0,0,12.08,0,0
86,0.22,0,16.11,0,0
62.1,0.02,0,14.09,0,0
70,0,0,12.97,0,0
75.9,0,0,8.95,0,0
51.1,0.61,0,18.12,0,0
71.1,0,0,12.97,0,0
60.1,0,0,16.11,0,0
60.1,0,0,12.97,0,0
66,0,0,12.97,0,0
44.1,0,0,14.09,0,0
48.9,0.04,0,6.93,0,0
43,0,0,16.11,0,0
45,0,0,12.08,0,0
73.9,0,0,12.97,0,0
54,0,0,10.07,0,0
55.9,0.16,0,16.11,0,0
45,0.13,0,17,0,0
57,0,0,14.99,0,0
57.9,0,0,10.07,0,0
41,0.4,0,14.09,0,0
33.1,0.01,0,12.08,0,0
54,0,0,12.08,0,0
50,0.24,0,8.95,0,0
48,0,0,12.08,0,0
45,0,0,10.07,0,0
72,0,0,27.96,0,1
51.1,0,0,18.12,0,0
35.1,0,0,14.09,0,0
53.1,0,0,35.12,0,1
23.2,0,0,18.12,0,0
57,0.08,0,12.08,0,0
46.9,0.03,0,14.99,0,0
66,0.97,0,23.04,0,1
80.1,0,0,17,0,0
66,0,0,12.97,0,0
66.9,0,0,18.12,0,0
66.9,0,0,16.11,0,0
72,0.11,0,14.99,0,0
75,0,0,12.97,0,0
61,0.31,0,10.96,0,0
78.1,0,0,8.05,0,0
80.1,0.01,0,12.08,0,0
70,0.63,0,17,0,0
68,0,0,14.09,0,0
70,0,0,10.07,0,0
82,0,0,14.99,0,0
82.9,0,0,12.08,0,0
78.1,0.22,0,21.92,0,1
84.9,0,0,14.09,0,0
88,0,0,14.09,0,1
75,0,0,10.07,0,0
87.1,0.15,0,14.99,0,1
88,0,0,12.97,0,1
98.1,2.1,0,23.04,0,1
95,0,0,14.09,0,1
91.9,0.31,0,19.91,0,1
91.9,0.02,0,23.04,0,1
87.1,0,0,17,0,1
91,0,0,23.04,0,1
88,0,0,8.95,0,1
90,0,0,14.09,0,1
95,0,0,12.97,0,1
87.1,0.29,0,21.03,0,1
88,0,0,12.08,0,1
91,0,0,8.95,0,1
84.9,0,0,19.91,0,0
93.9,0.1,0,18.12,0,1
70,1.42,0,19.91,0,0
80.1,0.28,0,21.03,0,1
69.1,0.13,0,25.95,0,1
66.9,0.18,0,17,0,0
73,0,0,10.07,0,0
68,0.01,0,8.05,0,0
79,0,0,12.08,0,0
79,0,0,14.99,0,0
63,0.15,0,8.05,0,0
66,1.52,0,12.08,0,0
70,0,0,8.95,0,0
60.1,0,0,12.97,0,0
57,0,0,6.93,0,0
59,0,0,10.07,0,0
70,0,0,10.07,0,0
53.1,0.04,0,6.93,0,0
61,0,0,10.07,0,0
71.1,0,0,12.97,0,0
72,0,0,18.12,0,0
64.9,0,0,12.08,0,0
54,0,0,8.05,0,0
73,1.68,0,29.08,0,1
66.9,1.79,0,14.99,0,0
44.1,0,0,10.07,0,0
54,0,0,27.96,0,1
32,0,0,14.09,0,0
39,0,0,16.11,0,0
44.1,0,0,12.08,0,0
52,0,1.18,12.97,0,1
55.9,0.09,0,23.04,0,1
32,0,0,12.97,0,0
53.1,0,0,16.11,0,0
66,0,0,18.12,0,0
73,0.46,0,35.12,0,1
73.9,0,0,23.94,0,1
68,0,0,16.11,0,0
78.1,0,0,12.08,0,0
77,0.89,0,23.04,1,1
77,0,0,21.03,0,1
78.1,0.01,0,29.08,0,1
71.1,0.25,0,21.03,0,1
75.9,0,0,25.05,0,1
62.1,0,0,21.03,0,1
63,0,0,19.91,0,0
75.9,0,0,23.94,0,1
81,0,0,19.91,0,0
84,0,0,21.03,0,1
64.9,0,0,12.97,0,0
73.9,0,0,14.09,0,0
66.9,0.68,0,14.99,0,0
69.1,0.27,0,12.97,0,0
62.1,0.07,0,12.08,0,0
77,0.3,0,12.97,0,0
87.1,0,0,12.08,0,1
84,0.5,0,16.11,0,0
91,0.45,0,33.11,0,1
91,1.62,0,29.08,0,1
90,0,0,12.97,0,1
89.1,0.91,0,36.91,0,1
88,1.66,0,17,0,1
78.1,1.48,0,14.09,0,0
91,0,0,14.09,0,1
93,0,0,18.12,0,1
97,0.13,0,23.04,0,1
91,0.04,0,12.97,0,1
96.1,0,0,14.99,0,1
96.1,0,0,14.09,0,1
93,0,0,12.97,0,1
91.9,0,0,12.08,0,1
99,0,0,12.08,0,1
93.9,0.01,0,14.99,0,1
75,1.13,0,23.94,0,1
93.9,0,0,12.97,0,1
88,0,0,14.99,0,1
91,0,0,10.07,0,1
82.9,0,0,14.99,0,0
75,0.49,0,18.12,0,0
82.9,0.23,0,14.99,0,0
80.1,0,0,14.09,0,0
82.9,0.14,0,17,0,0
79,0,0,10.07,0,0
79,0,0,8.95,0,0
75.9,0,0,17,0,0
72,0,0,17,0,0
70,0,0,14.09,0,0
64.9,0,0,12.97,0,0
70,0,0,12.97,0,0
64,0.06,0,6.93,0,0
72,0.06,0,12.08,0,0
59,0,0,19.91,0,0
77,0.07,0,27.96,0,1
41,0,0,14.09,0,0
59,0,0,8.95,0,0
63,0.35,0,21.92,0,1
51.1,1.08,0,10.07,0,0
44.1,0,0,12.08,0,0
55,0,0,17,0,0
57,0.02,0,16.11,0,0
55.9,0.09,0,23.04,0,1
70,0.06,0,23.94,0,1
68,0,0,25.95,0,1
45,0,0,14.09,0,0
60.1,0.11,0,23.94,0,1
64,0,0,17,0,0
66,0,0,19.91,0,0
66,0,0,12.97,0,0
54,0,0,21.03,0,1
64.9,0,0,17,0,0
54,0.25,0,23.04,0,1
57.9,0.03,0,16.11,0,0
64,0.5,0,23.94,1,1
57,0,0,21.03,0,1
66,0,0,12.97,0,0
55.9,0,0,14.09,0,0
66.9,0,0,16.11,0,0
77,0,0,14.09,0,0
82,0,0,21.03,0,1
86,0.05,0,19.91,0,0
70,2.17,0,12.97,0,0
81,0,0,16.11,0,0
84.9,0.29,0,27.96,0,1
66.9,0.02,0,21.92,0,1
84,0.48,0,23.94,0,1
66,0.23,0,10.07,0,0
86,0,0,18.12,0,0
89.1,0,0,19.91,0,1
90,0,0,21.92,0,1
86,0.08,0,17,0,0
87.1,0.08,0,12.08,0,1
82,0.06,0,12.08,0,0
84.9,0,0,10.07,0,0
88,0,0,14.99,0,1
90,0.38,0,25.95,0,1
77,0,0,18.12,0,0
90,0,0,14.99,0,1
89.1,0,0,14.99,0,1
89.1,2.3,0,23.04,0,1
84,0,0,12.08,0,0
89.1,0.47,0,12.97,0,1
95,0.05,0,16.11,0,1
93.9,0,0,16.11,0,1
97,0,0,17,0,1
93.9,0,0,16.11,0,1
89.1,0,0,12.97,0,1
93.9,0,0,12.08,0,1
98.1,0,0,16.11,0,1
91,0,0,12.97,0,1
90,0,0,16.11,0,1
93.9,0.02,0,16.11,0,1
87.1,0,0,17,0,1
91,0,0,8.95,0,1
91.9,0,0,14.99,0,1
90,0,0,14.99,0,1
84,0,0,16.11,0,0
95,0,0,12.97,0,1
96.1,0,0,16.11,0,1
84.9,0,0,10.07,0,0
81,0,0,17,0,0
78.1,0.03,0,21.92,0,1
78.1,1.06,0,21.92,0,1
82,0.52,0,16.11,0,0
84.9,0,0,8.05,0,0
93.9,0,0,17,0,1
71.1,0,0,16.11,0,0
89.1,1.12,0,21.92,0,1
89.1,0,0,12.97,0,1
91.9,0,0,16.11,0,1
97,0,0,17.9,0,1
100.9,0,0,14.99,0,1
100.9,0.24,0,23.94,0,1
86,0.01,0,14.99,0,0
93.9,0,0,14.09,0,1
98.1,0,0,17,0,1
96.1,0.11,0,17.9,0,1
88,0,0,8.95,0,1
93,0,0,14.99,0,1
89.1,0,0,12.97,0,1
88,0.4,0,19.91,0,1
81,0.15,0,6.93,0,0
86,0,0,8.95,0,0
90,0.55,0,16.11,0,1
79,0.02,0,12.08,0,0
78.1,0,0,12.97,0,0
64.9,0.69,0,8.95,0,0
84.9,0.06,0,10.07,0,0
73,0,0,6.93,0,0
57,0,0,10.07,0,0
68,0,0,10.07,0,0
73.9,0,0,6.93,0,0
80.1,0,0,12.08,0,0
51.1,0.55,0,21.03,0,1
55.9,0,0,14.99,0,0
54,0,0,12.97,0,0
61,0,0,14.09,0,0
59,0,0,8.05,0,0
66.9,0,0,16.11,0,0
51.1,0,0,16.11,0,0
66,0.01,0,10.07,0,0
51.1,0.13,0,14.09,0,0
64.9,0,0,12.97,0,0
55,0,0,14.99,0,0
46,0,0,16.11,0,0
50,0,0,8.95,0,0
55,0.59,0,17.9,0,0
52,0,0,12.08,0,0
52,0,0,12.97,0,0
61,0,0,14.09,0,0
37,0,0,19.91,0,0
59,0,0,19.91,0,0
46,0,0,14.99,0,0
51.1,0,0,14.09,0,0
64,0,0,17,0,0
79,0,0,14.09,0,0
84,0.57,0,46.98,0,1
72,0,0,12.08,0,0
62.1,0.97,0,12.08,0,0
69.1,0,0,21.03,0,1
71.1,0,0,18.12,0,0
72,0.18,0,19.91,0,0
86,0,0,18.12,0,0
82,0.18,0,12.97,0,0
80.1,0,0,12.97,0,0
87.1,0,0,14.09,0,1
75.9,5.14,0,14.09,0,0
84,0.04,0,14.09,0,0
84.9,0.66,0,25.05,0,1
90,0,0,17,0,1
89.1,0,0,17,0,1
91.9,1.66,0,19.91,0,1
77,0.3,0,14.99,0,0
88,0,0,14.09,0,1
91.9,0,0,8.95,0,1
82.9,0,0,17,0,0
87.1,0,0,10.07,0,1
75.9,0,0,17,0,0
80.1,0,0,8.95,0,0
73.9,0,0,10.07,0,0
77,0.43,0,21.03,0,1
77,0,0,14.09,0,0
73,0,0,17,0,0
86,0,0,12.08,0,0
89.1,0,0,10.07,0,1
66,0.02,0,8.95,0,0
69.1,0,0,12.08,0,0
64,0,0,8.95,0,0
55.9,0,0,12.97,0,0
70,0.03,0,14.09,0,0
60.1,0,0,8.95,0,0
48.9,0,0,12.08,0,0
59,0,0,12.08,0,0
45,0,0,14.99,0,0
66.9,0,0,21.03,0,1
36,1.72,0,21.92,0,1
79,0,0,21.03,0,1
87.1,0,0,8.95,0,1
96.1,0.02,0,23.94,0,1
93.9,0,0,14.99,0,1
82,0,0,10.07,0,0
82.9,0,0,12.08,0,0
89.1,0,0,12.08,0,1
93,0,0,17,0,1
90,1.18,0,23.94,0,1
79,0,0,12.97,0,0
64,0.15,0,17,0,0
75,0,0,19.91,0,0
75,0,0,19.91,0,0
75,0,0,14.99,1,1
84,0,0,19.91,0,0
87.1,0,0,17.9,1,1
89.1,0,0,21.03,0,1
88,0,0,19.91,0,1
100,0,0,12.08,0,1
89.1,0,0,12.97,0,1
91,0.41,0,16.11,1,1
91,0,0,12.97,0,1
97,0,0,14.99,0,1
98.1,0,0,23.94,1,1
89.1,0.48,0,17,1,1
81,0,0,12.97,0,0
91.9,0,0,17,0,1
87.1,0.85,0,21.03,1,1
89.1,0,0,16.11,1,1
79,0.53,0,10.07,1,1
91,0.6,0,19.91,1,1
93,0,0,12.08,0,1
97,0,0,10.07,0,1
97,0.49,0,38.92,1,1
87.1,0,0,12.08,0,1
87.1,0,0,17,0,1
91.9,0,0,12.97,0,1
93.9,0,0,14.99,0,1
91,0,0,14.09,0,1
89.1,0,0,10.07,0,1
95,0,0,10.07,0,1
84,3.43,0,21.03,1,1
89.1,0.21,0,12.97,0,1
90,0.32,0,21.92,1,1
90,0,0,10.07,0,1
82,0.47,0,14.99,1,1
88,4.72,0,21.03,1,1
87.1,0,0,14.09,0,1
86,0,0,10.07,0,0
81,0,0,16.11,0,0
64,0.33,0,23.94,1,1
80.1,0.18,0,8.95,1,1
75.9,0.29,0,8.05,1,1
61,0,0,17.9,0,0
60.1,0,0,14.99,0,0
63,0.03,0,21.03,1,1
77,0.02,0,14.99,1,1
60.1,0,0,16.11,0,0
55,0,0,21.03,0,1
66.9,0,0,12.08,0,0
57.9,0.13,0,14.09,1,1
59,0.92,0,16.11,1,1
61,0,0,12.97,0,0
66,0.09,0,14.99,1,1
55,0,0,12.97,0,0
63,0,0,10.07,0,0
52,0,0,34.9,0,1
43,0,0,17,0,0
59,0.01,0,8.05,0,0
60.1,0.02,0,12.08,1,1
42.1,0.05,0,14.09,1,1
57.9,0,0,8.05,0,0
68,0.16,0,42.95,1,1
53.1,0,0,17,0,0
64,0,0,23.94,0,1
43,0,0,8.05,0,0
60.1,0,0,17,0,0
66.9,0.42,0,31.99,1,1
50,0,0,17,0,0
62.1,0,0,25.05,0,1
64,0.11,0,21.03,1,1
37.9,0,0,17,0,0
75,0,0,16.11,0,0
69.1,0,0,23.94,0,1
63,0,0,17.9,0,0
57,0.59,0,17,1,1
64.9,0,0,17.9,0,0
36,0,0.98,12.08,0,1
68,0,0,12.08,0,0
57,0,0,12.97,0,0
66.9,0,0,16.11,0,0
64.9,0.33,0,14.99,1,1
73.9,0,0,10.07,0,0
82.9,0,0,14.99,0,0
75,0,0,29.97,0,1
91,0,0,16.11,0,1
89.1,0,0,17,0,1
84.9,0,0,17.9,0,0
75.9,0,0,16.11,0,0
82.9,0.17,0,21.03,1,1
75,0,0,17,0,0
87.1,0.01,0,17.9,1,1
87.1,0,0,10.07,0,1
84,0.54,0,14.99,1,1
91.9,0,0,17.9,0,1
91,0,0,10.07,0,1
91.9,0,0,8.95,0,1
86,0,0,14.09,0,0
97,0,0,14.09,0,1
91,0,0,12.97,0,1
88,0,0,16.11,0,1
91.9,0,0,14.09,0,1
79,0.19,0,12.97,1,1
93,0.03,0,25.05,1,1
95,0,0,12.97,0,1
91,0,0,16.11,0,1
81,0,0,8.05,1,1
90,0.08,0,16.11,1,1
98.1,0,0,17.9,0,1
91.9,0,0,17.9,0,1
93.9,0,0,17.9,0,1
90,0.37,0,25.05,1,1
72,0.14,0,12.08,1,1
82.9,0,0,12.08,0,0
71.1,0.37,0,10.07,1,1
68,0.45,0,25.05,0,1
71.1,0.13,0,17.9,0,0
55,0,0,23.04,0,1
51.1,0,0,12.08,0,0
73.9,0,0,21.03,0,1
63,0,0,14.99,0,0
34,0.44,0,12.97,0,0
50,0,0,14.99,0,0
48,0,0,23.94,0,1
57,0,0,12.08,0,0
51.1,0.56,0,16.11,0,0
64.9,0,0,10.07,0,0
70,0,0,25.05,0,1
71.1,0,0,12.97,0,0
81,0,0,21.03,0,1
77,0,0,21.92,0,1
86,0,0,12.97,0,0
77,0.01,0,21.92,0,1
82.9,0.02,0,14.99,0,0
48,0.12,0,17.9,0,0
55.9,0,0,19.91,0,0
84.9,0,0,17.9,0,0
82.9,0,0,10.07,0,0
87.1,0,0,12.97,0,1
69.1,0.01,0,12.97,0,0
82.9,0.13,0,14.09,0,0
96.1,0,0,14.09,0,1
82.9,0.02,0,12.08,0,0
84.9,0,0,12.97,0,0
91.9,0,0,17.9,0,1
93.9,0,0,12.97,0,1
93.9,0,0,17.9,0,1
84.9,0,0,14.99,0,0
91.9,0,0,12.97,0,1
90,0,0,17,0,1
99,0,0,14.09,0,1
90,0,0,12.97,0,1
93.9,0,0,12.97,0,1
90,0,0,12.97,0,1
87.1,0,0,17.9,0,1
96.1,0,0,10.07,0,1
95,0,0,12.08,0,1
93,0,0,14.09,0,1
75,0,0,17,0,0
75.9,0,0,17,0,0
81,0,0,14.09,0,0
80.1,0,0,16.11,0,0
93,0,0,8.05,0,1
73.9,0,0,12.97,0,0
75,0,0,12.08,0,0
80.1,0,0,10.07,0,0
79,0,0,8.95,0,0
84,0,0,8.95,0,0
80.1,0,0,17,0,0
78.1,1.72,0,21.03,0,1
78.1,0,0,19.91,0,0
66,0.04,0,16.11,0,0
60.1,0,0,17,0,0
66,0,0,12.08,0,0
64,0.06,0,17.9,0,0
53.1,0,0,17,0,0
45,0,0,19.91,0,0
72,0,0,12.08,0,0
66.9,0,0,8.05,0,0
57.9,0,0,14.09,0,0
43,0.91,0,17.9,0,0
71.1,0.13,0,27.96,0,1
57.9,1.92,0,14.09,0,0
57,0,0,12.08,0,0
45,0,0,16.11,0,0
55,0,0,17.9,0,0
33.1,0,0.98,16.11,0,1
54,0,0,8.95,0,0
57,0.13,0,25.05,0,1
55.9,0.92,0,14.99,0,0
73.9,0,0,25.95,0,1
66.9,0,0,12.97,0,0
63,0,0,17,0,0
73.9,0,0,25.95,0,1
68,0.82,0,19.91,1,1
51.1,0,0,17,1,1
81,0,0,23.94,0,1
68,0.06,0,21.92,1,1
66.9,0,0,17.9,0,0
68,0,0,16.11,0,0
69.1,0.01,0,17,0,0
75.9,0.04,0,16.11,1,1
66.9,0,0,10.07,0,0
80.1,0,0,21.92,0,1
66.9,0.94,0,21.92,1,1
81,0.1,0,14.09,1,1
73,0,0,14.09,0,0
66.9,0.09,0,8.05,1,1
66,0.02,0,14.09,0,0
73.9,0,0,8.95,0,0
81,0.27,0,25.95,1,1
62.1,0.12,0,16.11,1,1
61,0.01,0,12.08,0,0
80.1,0.06,0,19.91,0,0
75.9,0,0,8.95,0,0
57,2.97,0,27.96,1,1
52,0.58,0,17,1,1
62.1,0.18,0,21.03,1,1
50,0,0,12.08,0,0
59,0,0,12.97,0,0
48.9,0,0,8.95,0,0
48,0,0,17,0,0
36,0,0,12.97,0,0
37,0,0,8.95,0,0
39.9,0.01,0,12.97,0,0
51.1,0,0,14.99,0,0
48,0,2.99,6.93,0,1
44.1,0,0,12.08,0,0
42.1,1.37,0,25.95,1,1
39.9,0.35,0,16.11,1,1
37.9,0,0,27.96,0,1
45,0,0,16.11,0,0
42.1,0.05,2.01,14.09,0,1
43,0,0,17,0,0
64.9,0,0,14.09,0,0
50,0,0,21.92,0,1
54,0,0,12.97,0,0
69.1,0.32,0,10.07,1,1
68,0.42,0,21.03,1,1
73.9,0,0,14.99,0,0
66.9,1.52,0,12.97,1,1
77,0,0,14.09,0,0
75,0,0,8.95,0,0
73.9,0,0,12.97,0,0
78.1,0,0,21.03,0,1
75,0,0,17.9,0,0
90,0,0,23.04,0,1
95,0,0,14.09,1,1
70,0.36,0,8.95,1,1
73,0.04,0,17,1,1
91,0,0,17,0,1
88,0,0,19.91,1,1
82,0,0,14.09,0,0
88,0,0,21.92,0,1
93.9,0,0,17,0,1
93,0,0,8.95,0,1
93.9,0,0,12.08,0,1
99,0,0,21.03,0,1
87.1,0,0,10.07,0,1
97,0,0,12.08,0,1
97,0,0,10.07,0,1
102,0,0,19.91,0,1
79,0.1,0,10.07,1,1
95,0.39,0,23.94,1,1
89.1,0,0,14.99,0,1
84,0.6,0,12.97,1,1
90,0,0,12.97,1,1
82.9,0.47,0,17.9,1,1
90,0,0,10.07,0,1
87.1,0,0,14.99,0,1
79,0.1,0,12.08,1,1
95,0,0,17,0,1
87.1,0,0,14.09,0,1
98.1,0,0,17.9,0,1
72,0,0,17,0,0
71.1,0,0,17,0,0
70,0,0,12.97,0,0
82,0,0,12.97,0,0
87.1,0.29,0,25.05,1,1
61,0,0,12.97,1,1
66,0,0,17.9,0,0
69.1,0,0,6.04,0,0
70,0.29,0,29.97,1,1
35.1,0.6,0,14.99,1,1
63,0.28,0,17,0,0
48,0.15,0,8.95,0,0
61,0,0,14.99,0,0
57.9,0,0,14.09,0,0
68,0,0,23.04,0,1
73.9,0.05,0,31.99,0,1
61,0,0,14.09,0,0
81,0.62,0,31.99,0,1
66,0,0,16.11,0,0
61,0,0,19.91,0,0
69.1,0,0,17.9,0,0
64.9,0.67,0,21.03,0,1
51.1,0,0,16.11,0,0
57.9,0,0,19.91,0,0
68,0.04,0,17,0,0
39.9,0.07,0,17,0,0
71.1,0,0,17.9,0,0
84.9,0,0,31.09,0,1
68,0,0,21.03,0,1
78.1,0.01,0,31.09,0,1
71.1,0.12,0,12.08,0,0
66,0.02,0,14.99,0,0
79,0.73,0,23.04,0,1
78.1,0,0,10.07,0,0
75,0,0,12.08,0,0
93,0,0,14.99,0,1
93,0,0,19.91,0,1
93.9,0,0,12.97,0,1
95,0,0,12.97,0,1
93.9,0.3,0,14.09,0,1
93,0,0,21.03,0,1
91.9,0,0,10.07,0,1
86,0,0,14.99,0,0
102,0,0,19.91,0,1
100.9,0,0,31.09,0,1
102,0,0,17.9,0,1
89.1,0,0,14.09,0,1
91,0,0,12.97,0,1
89.1,0,0,10.07,0,1
89.1,0,0,25.05,0,1
82,0,0,14.09,0,0
86,0.04,0,12.97,0,0
88,0,0,14.09,0,1
82.9,0,0,14.99,0,0
84,0,0,8.05,0,0
84.9,0,0,12.08,0,0
88,0,0,8.05,0,1
89.1,1.31,0,21.03,0,1
62.1,0,0,16.11,0,0
72,0,0,12.97,0,0
77,0,0,8.05,0,0
73.9,0,0,14.99,0,0
66,0,0,12.08,0,0
71.1,0,0,8.05,0,0
64.9,0,0,16.11,0,0
51.1,0,0,10.07,0,0
70,0,0,12.08,0,0
71.1,0.02,0,17.9,0,0
70,0.54,0,29.08,0,1
55,0,0,6.93,0,0
63,0,0,6.04,0,0
52,0,0,12.08,0,0
57,0.11,0,23.94,0,1
60.1,0,0,14.09,0,0
57.9,0,0,12.08,0,0
42.1,0,0,19.91,0,0
57.9,0.25,0,16.11,0,0
64.9,0.73,0,31.09,0,1
52,0,0,23.94,0,1
82.9,0.03,0,16.11,0,0
71.1,0.66,0,14.09,0,0
78.1,0,0,25.95,0,1
77,0,0,17.9,0,0
73,0,0,19.91,0,0
73.9,0,0,25.05,0,1
84,0,0,23.04,0,1
69.1,0.31,0,17.9,0,0
73,0,0,8.95,0,0
64,0,0,21.03,0,1
77,0,0,12.08,0,0
90,0,0,14.99,0,1
77,0.51,0,19.91,0,0
77,0,0,10.07,0,0
82.9,0.15,0,23.94,0,1
82.9,0.01,0,12.08,0,0
81,0,0,16.11,0,0
77,0,0,17,0,0
86,0,0,14.99,0,0
84,0.03,0,21.92,0,1
86,0.35,0,12.97,0,0
89.1,0,0,23.04,0,1
90,0.11,0,21.03,0,1
88,1.19,0,23.04,0,1
75.9,0,0,12.08,0,0
81,0,0,10.07,0,0
86,0,0,12.97,0,0
90,0,0,16.11,0,1
84.9,0,0,21.92,0,1
75.9,0,0,14.99,0,0
77,2.3,0,16.11,1,1
82,0.59,0,17.9,1,1
84,0.02,0,16.11,1,1
88,0,0,17.9,0,1
93,0.18,0,21.92,1,1
88,0,0,14.09,0,1
93,0,0,12.08,0,1
97,0,0,19.91,0,1
96.1,0,0,16.11,0,1
96.1,0,0,14.09,0,1
88,0.18,0,21.03,1,1
82.9,0.32,0,12.97,1,1
86,0,0,8.95,0,0
95,0.8,0,23.94,1,1
90,0,0,12.08,0,1
93,0,0,10.07,0,1
97,0,0,14.09,0,1
88,0,0,16.11,0,1
93,0,0,12.97,0,1
97,0,0,12.97,0,1
98.1,0,0,8.95,0,1
95,0,0,12.97,0,1
90,0,0,12.97,0,1
89.1,0,0,14.99,0,1
69.1,1.69,0,16.11,1,1
73.9,0,0,12.97,0,0
87.1,0,0,14.99,0,1
79,0,0,12.97,0,0
